stage,scenario,run,p95_total_ms,p95_ok200_ms,http_reqs,req_per_s,booked_success,oversold_count,max_dup,total_bookings
1-naive,hotspot,1,65.5172437,38.350460749999996,500,5246.892197541797,4,1,4,4
1-naive,hotspot,2,79.68697125,88.9310544,500,4583.929675844571,67,1,67,67
1-naive,hotspot,3,55.23128339999999,81.72143185,500,5817.324492628955,22,1,22,22
1-naive,hotspot,4,72.6778353,45.30055719999999,500,5320.449955986046,9,1,9,9
1-naive,hotspot,5,40.06002844999996,45.02331345,500,4753.117786222842,18,1,18,18
1-naive,spread,1,83.184923,8.65453445,344097,10899.482772565927,100,0,0,100
1-naive,spread,2,85.216495,8.8248033,333513,10016.53641193607,103,3,2,103
1-naive,spread,3,82.57289115,8.919016,344042,10337.269553262397,101,1,2,101
1-naive,spread,4,83.59668205,8.338168,341682,10262.119414622557,101,1,2,101
1-naive,spread,5,82.02938474999999,10.662481849999995,336750,10122.525757420508,100,0,0,100
2-db_atomic,hotspot,1,45.42286365,47.842822,500,5427.454247591909,1,0,0,1
2-db_atomic,hotspot,2,88.40251744999999,88.925957,500,4136.878658200429,1,0,0,1
2-db_atomic,hotspot,3,44.482500249999994,27.703501,500,6788.778046699379,1,0,0,1
2-db_atomic,hotspot,4,39.831887049999985,36.679408,500,5721.105402693849,1,0,0,1
2-db_atomic,hotspot,5,60.9774798,14.574155,500,6128.1295806236585,1,0,0,1
2-db_atomic,spread,1,83.7351874,9.92299585,336825,10115.947607241966,100,0,0,100
2-db_atomic,spread,2,89.14434125000002,8.38344015,321062,9657.548905576927,100,0,0,100
2-db_atomic,spread,3,86.344344,9.32724375,335421,10075.601138174155,100,0,0,100
2-db_atomic,spread,4,83.17366,8.9619082,340271,10237.089841243122,100,0,0,100
2-db_atomic,spread,5,84.11668879999998,9.1797813,338204,10399.907254121328,100,0,0,100
3-redis,hotspot,1,66.9608557,61.711161,500,4135.5453096961,1,0,0,1
3-redis,hotspot,2,39.14187079999999,29.292563,500,7866.917929731808,1,0,0,1
3-redis,hotspot,3,38.584907,42.221111,500,8317.249989786418,1,0,0,1
3-redis,hotspot,4,42.35785015,35.234683,500,9142.309481949935,1,0,0,1
3-redis,hotspot,5,40.10861819999998,47.243084,500,7010.85801025652,1,0,0,1
3-redis,spread,1,51.291458049999996,10.361140699999998,503940,15152.364377648099,100,0,0,100
3-redis,spread,2,52.945183,9.684045249999999,505341,15193.146683231509,100,0,0,100
3-redis,spread,3,51.4149835,11.629023499999999,517814,15560.358599002182,100,0,0,100
3-redis,spread,4,52.09982759999998,9.612234099999998,508549,16127.638641486967,100,0,0,100
3-redis,spread,5,51.53772734999995,9.50978435,514908,15479.64090417127,100,0,0,100
4-worker_pool,hotspot,1,58.393304699999995,4.582706,500,5958.540877753372,1,0,0,1
4-worker_pool,hotspot,2,43.020126250000004,18.058182,500,5147.2785669070545,1,0,0,1
4-worker_pool,hotspot,3,30.77972859999998,2.563028,500,7641.9095340662025,1,0,0,1
4-worker_pool,hotspot,4,37.12956069999999,38.881066,500,7078.410139816863,1,0,0,1
4-worker_pool,hotspot,5,59.55036265,3.688958,500,6403.866664938477,1,0,0,1
4-worker_pool,spread,1,51.481714549999985,2.10876895,518274,15578.850642751577,100,0,0,100
4-worker_pool,spread,2,53.472072999999995,1.55168705,507876,15256.600713508722,100,0,0,100
4-worker_pool,spread,3,51.273957299999985,1.6304752,521427,16531.548762041137,100,0,0,100
4-worker_pool,spread,4,53.4491095,2.10318735,502995,15117.953647982984,100,0,0,100
4-worker_pool,spread,5,51.708532,1.71383295,517581,15559.36380254398,100,0,0,100
